0,0,0,0,YYYYY,MM,DD,hh,mm
702,44,16,28,2020,09,05,00,49
703,44,16,28,2020,09,05,00,52
704,44,16,28,2020,09,05,00,54
705,44,16,28,2020,09,05,00,56
706,44,16,28,2020,09,05,00,58
707,44,16,28,2020,09,05,01,01
708,44,16,28,2020,09,05,01,02
709,44,16,28,2020,09,05,01,04
710,44,16,28,2020,09,05,01,06
711,44,16,28,2020,09,05,01,07
711,44,16,28,2020,09,05,03,42
712,44,16,28,2020,09,05,22,15
713,44,16,28,2020,09,05,22,17
714,44,16,28,2020,09,05,22,19
715,44,16,28,2020,09,05,22,22
716,44,16,28,2020,09,05,22,24
717,44,16,28,2020,09,05,22,28
718,44,16,28,2020,09,05,22,31
719,44,16,28,2020,09,05,22,32
720,44,16,28,2020,09,05,22,34
721,44,16,28,2020,09,05,22,35
722,44,16,28,2020,09,05,22,39
723,44,16,28,2020,09,05,22,41
724,44,16,28,2020,09,05,22,43
725,44,16,28,2020,09,05,22,45
726,44,16,28,2020,09,05,22,46
727,44,16,28,2020,09,05,22,48
728,44,16,28,2020,09,05,22,51
729,44,16,28,2020,09,05,22,53
730,44,16,28,2020,09,05,22,55
731,44,16,28,2020,09,05,22,56
732,44,16,28,2020,09,05,22,57
733,44,16,28,2020,09,05,23,01
734,44,16,28,2020,09,05,23,03
735,44,16,28,2020,09,05,23,07
737,44,16,28,2020,09,05,23,11
738,44,16,28,2020,09,05,23,13
739,44,16,28,2020,09,05,23,15
740,44,16,28,2020,09,05,23,16
741,44,16,28,2020,09,05,23,18
742,44,16,28,2020,09,05,23,20
743,44,16,28,2020,09,05,23,22
744,44,16,28,2020,09,05,23,24
745,44,16,28,2020,09,05,23,27
746,44,16,28,2020,09,05,23,30
747,44,16,28,2020,09,05,23,32
748,44,16,28,2020,09,05,23,33
749,44,16,28,2020,09,05,23,41
750,44,16,28,2020,09,05,23,43
751,44,16,28,2020,09,05,23,45
752,44,16,28,2020,09,05,23,47
753,44,16,28,2020,09,05,23,49
753,44,16,28,2020,09,06,00,59
753,44,16,28,2020,09,06,00,59
754,44,16,28,2020,09,06,00,59
755,44,16,28,2020,09,06,01,02
756,44,16,28,2020,09,06,01,04
757,44,16,28,2020,09,06,01,05
758,44,16,28,2020,09,06,01,09
759,44,16,28,2020,09,06,01,12
760,44,16,28,2020,09,06,01,13
761,44,16,28,2020,09,06,01,21
762,44,16,28,2020,09,06,01,23
763,44,16,28,2020,09,06,01,25
764,44,16,28,2020,09,06,01,29
765,44,16,28,2020,09,06,01,32
766,44,16,28,2020,09,06,01,33
767,44,16,28,2020,09,06,01,34
768,44,16,28,2020,09,06,01,42
769,44,16,28,2020,09,06,01,45
770,44,16,28,2020,09,06,01,46
771,44,16,28,2020,09,06,01,48
772,44,16,28,2020,09,06,01,50
773,44,16,28,2020,09,06,01,54
774,44,16,28,2020,09,06,01,57
775,44,16,28,2020,09,06,01,59
776,44,16,28,2020,09,06,02,00
777,44,16,28,2020,09,06,02,02
778,44,16,28,2020,09,06,02,04
779,44,16,28,2020,09,06,02,10
780,44,16,28,2020,09,06,02,19
781,44,16,28,2020,09,06,02,25
783,44,16,28,2020,09,06,02,31
784,44,16,28,2020,09,06,02,33
786,44,16,28,2020,09,06,02,39
787,44,16,28,2020,09,06,02,41
788,44,16,28,2020,09,06,02,43
789,44,16,28,2020,09,06,02,44
790,44,16,28,2020,09,06,02,47
791,44,16,28,2020,09,06,02,51
792,44,16,28,2020,09,06,02,57
792,44,16,28,2020,09,06,02,59
792,44,16,28,2020,09,06,14,49
792,44,16,28,2020,09,07,00,40
792,44,16,28,2020,09,07,00,40
792,44,16,28,2020,09,07,01,17
792,44,16,28,2020,09,07,17,33
792,44,16,28,2020,09,07,19,44
792,44,16,28,2020,09,08,00,22
792,44,16,28,2020,09,08,03,12
793,44,16,28,2020,09,08,17,34
793,44,16,28,2020,09,09,02,59
793,44,16,28,2020,09,09,02,59
793,55,20,35,2020,09,09,03,10
